Date,Adj Close,Volume
12/30/1991,3201.5,471700
1/6/1992,3199.5,1350900
1/13/1992,3265,1509600
1/20/1992,3232.800049,1086800
1/27/1992,3223.399902,1192600
2/3/1992,3225.399902,1123400
2/10/1992,3246,1045400
2/17/1992,3280.199951,975800
2/24/1992,3267.699951,966900
3/2/1992,3221.600098,962200
3/9/1992,3235.899902,893800
3/16/1992,3276.399902,967700
3/23/1992,3231.399902,922900
3/30/1992,3249.100098,867600
4/6/1992,3255.399902,1154500
4/13/1992,3366.5,925700
4/20/1992,3324.5,1065600
4/27/1992,3336.100098,1040900
5/4/1992,3369.399902,868300
5/11/1992,3353.100098,875600
5/18/1992,3386.800049,1070200
5/25/1992,3396.899902,874500
6/1/1992,3398.699951,1144500
6/8/1992,3354.399902,993400
6/15/1992,3285.399902,1169000
6/22/1992,3282.399902,1089100
6/29/1992,3330.300049,844400
7/6/1992,3330.600098,1111000
7/13/1992,3331.600098,982200
7/20/1992,3285.699951,910400
7/27/1992,3393.800049,1007300
8/3/1992,3332.199951,958000
8/10/1992,3328.899902,843600
8/17/1992,3254.100098,775100
8/24/1992,3267.600098,929100
8/31/1992,3281.899902,836200
9/7/1992,3305.699951,741000
9/14/1992,3327.100098,1229300
9/21/1992,3250.300049,1091300
9/28/1992,3200.600098,1012800
10/5/1992,3136.600098,1189100
10/12/1992,3174.399902,1264700
10/19/1992,3207.600098,1269400
10/26/1992,3226.300049,1167500
11/2/1992,3240.100098,1204000
11/9/1992,3233,1061700
11/16/1992,3227.399902,1154700
11/23/1992,3282.199951,872400
11/30/1992,3288.699951,1207800
12/7/1992,3304.100098,1051700
12/14/1992,3313.300049,1540100
12/21/1992,3326.199951,845600
12/28/1992,3301.110107,691900
1/4/1993,3251.699951,1527600
1/11/1993,3271.100098,1585300
1/18/1993,3256.800049,1431900
1/25/1993,3310,1655300
2/1/1993,3442.100098,1654600
2/8/1993,3392.429932,1318800
2/15/1993,3322.179932,1344500
2/22/1993,3370.810059,1457200
3/1/1993,3404.580078,1215100
3/8/1993,3427.820068,1391800
3/15/1993,3471.580078,1134500
3/22/1993,3439.97998,1409900
